"number","created_by","created_at","state","closed_by","closed_at"
"1667","mrocklin","2016-03-18 15:46:25","closed","bdarnell","2016-03-22 15:37:29"
"1666","hackrole","2016-03-18 06:54:41","closed","bdarnell","2016-04-03 20:46:28"
"1665","kwarunek","2016-03-15 15:54:21","open","",""
"1664","bretsko","2016-03-13 17:00:47","closed","ajdavis","2016-03-13 17:11:05"
"1663","bensooraj","2016-03-13 16:33:48","closed","ajdavis","2016-03-13 18:27:02"
"1662","malcm","2016-03-11 13:31:01","closed","bdarnell","2016-03-13 03:38:52"
"1661","malcm","2016-03-11 13:12:06","closed","malcm","2016-03-11 13:21:23"
"1660","yannmh","2016-03-10 18:24:18","closed","bdarnell","2016-03-22 13:16:14"
"1659","dave-shawley","2016-03-06 20:00:58","closed","bdarnell","2016-03-06 23:12:38"
"1658","Kotakon","2016-03-05 17:04:32","open","",""
"1657","tao12345666333","2016-03-03 14:59:44","closed","ajdavis","2016-03-04 02:14:51"
"1656","tao12345666333","2016-03-03 14:58:43","closed","ajdavis","2016-03-04 02:14:51"
"1655","multimedial","2016-02-29 18:28:13","closed","bdarnell","2016-04-03 20:27:29"
"1654","jonathansp","2016-02-27 00:55:28","closed","bdarnell","2016-03-01 03:18:39"
"1653","emehrkay","2016-02-26 15:49:31","closed","bdarnell","2017-02-21 03:01:22"
"1652","emehrkay","2016-02-25 15:16:24","closed","bdarnell","2017-02-21 03:01:43"
"1651","abhinav","2016-02-24 19:38:33","closed","abhinav","2016-02-25 01:42:52"
"1650","jaapz","2016-02-23 12:43:25","open","",""
"1649","xrmx","2016-02-22 16:47:30","closed","bdarnell","2017-02-21 02:44:22"
"1648","zhicheng","2016-02-22 08:03:33","closed","bdarnell","2016-04-09 20:50:48"
"1647","jonathansp","2016-02-19 19:01:17","closed","bdarnell","2016-02-22 03:13:15"
"1646","dotku","2016-02-19 07:17:36","closed","bdarnell","2016-02-21 23:15:28"
"1645","friedcell","2016-02-18 16:42:51","closed","bdarnell","2016-02-18 16:48:31"
"1644","viyatb","2016-02-17 16:28:20","closed","viyatb","2016-02-18 04:48:35"
"1643","yyf1986","2016-02-17 02:41:06","closed","bdarnell","2016-02-17 03:03:10"
"1642","takluyver","2016-02-15 14:41:39","open","",""
"1641","bdarnell","2016-02-14 20:17:58","open","",""
"1640","takluyver","2016-02-12 18:15:38","open","",""
"1639","mosquito","2016-02-11 20:45:29","closed","bdarnell","2017-02-20 23:31:47"
"1638","bhch","2016-02-10 11:24:01","closed","bhch","2016-02-12 14:59:04"
"1637","jvhellemond","2016-02-06 14:15:30","closed","bdarnell","2016-02-08 01:21:45"
"1636","waylan","2016-02-06 03:06:20","closed","bdarnell","2016-02-08 04:06:29"
"1635","Cypher1","2016-02-03 07:47:22","closed","bdarnell","2016-02-08 04:04:27"
"1634","mr-ping","2016-02-03 02:45:55","closed","mr-ping","2016-08-02 11:30:51"
"1633","doudouOUC","2016-01-30 07:19:53","closed","bdarnell","2016-01-30 16:11:00"
"1632","Winiex","2016-01-27 13:51:53","closed","bdarnell","2016-01-29 05:27:20"
"1631","gmr","2016-01-26 15:00:50","closed","bdarnell","2016-02-14 00:41:18"
