"number","created_by","created_at","state","closed_by","closed_at"
"1732","waltherg","2016-06-23 17:19:51","open","",""
"1731","Jyrsa","2016-06-23 08:13:22","open","",""
"1730","dlstadther","2016-06-22 12:01:18","closed","erikbern","2016-06-28 14:12:01"
"1729","alfonsomhc","2016-06-22 11:11:55","closed","Tarrasch","2016-06-23 02:28:38"
"1728","alfonsomhc","2016-06-22 09:00:29","open","",""
"1727","alfonsomhc","2016-06-22 08:55:35","open","",""
"1726","dmyersturnbull","2016-06-22 02:56:38","open","",""
"1725","jkryanchou","2016-06-22 00:47:03","open","",""
"1724","dlstadther","2016-06-21 18:18:12","closed","dlstadther","2016-06-27 14:36:53"
"1723","skoushan","2016-06-19 10:02:00","closed","Tarrasch","2016-06-20 02:36:42"
"1722","nilgoyyou","2016-06-16 18:37:10","closed","Tarrasch","2016-06-20 02:38:13"
"1721","arnov","2016-06-15 15:27:17","closed","Tarrasch","2016-06-16 02:19:18"
"1720","dsfcode","2016-06-11 16:35:47","closed","erikbern","2016-06-11 17:18:55"
"1719","nugend","2016-06-09 19:57:36","closed","Tarrasch","2016-07-08 02:28:38"
"1718","linsomniac","2016-06-09 18:53:02","closed","Tarrasch","2016-06-10 02:24:45"
"1717","Zacmatix","2016-06-09 15:24:43","open","",""
"1716","Tarrasch","2016-06-09 09:30:32","closed","Tarrasch","2016-06-10 02:04:11"
"1715","Tarrasch","2016-06-09 02:50:41","closed","Tarrasch","2016-06-10 02:05:13"
"1714","mmendez12","2016-06-08 19:42:58","open","",""
"1713","bmaggard","2016-06-07 15:02:23","closed","Tarrasch","2016-06-08 02:20:01"
"1712","ericjmiller","2016-06-07 14:50:53","open","",""
"1711","tmu","2016-06-07 11:23:51","closed","erikbern","2016-06-07 15:36:22"
"1710","andreabedini","2016-06-07 06:33:32","closed","andreabedini","2016-07-14 01:35:09"
"1709","hudswideworld","2016-06-06 19:24:54","closed","Tarrasch","2016-06-07 02:30:44"
"1708","nugend","2016-06-06 17:38:13","closed","Tarrasch","2016-06-08 02:26:56"
"1707","nilgoyyou","2016-06-06 15:25:17","closed","nilgoyyou","2016-06-23 14:39:20"
"1706","hudswideworld","2016-06-06 15:02:20","closed","Tarrasch","2016-06-07 02:31:12"
"1705","apetresc","2016-06-06 13:49:38","open","",""
"1704","keisuke-nakata","2016-06-04 11:17:19","closed","keisuke-nakata","2016-06-05 17:08:49"
"1703","devlounge","2016-06-02 20:35:47","closed","Tarrasch","2016-06-03 03:39:06"
"1702","fordb","2016-06-02 17:32:56","closed","dlstadther","2016-06-06 02:47:09"
"1701","Tarrasch","2016-06-01 07:37:37","closed","Tarrasch","2016-06-02 03:01:52"
"1700","daveFNbuck","2016-05-31 23:37:00","closed","Tarrasch","2016-06-01 04:22:33"
"1699","adamchainz","2016-05-29 14:22:11","closed","erikbern","2016-05-30 18:34:15"
"1698","casey-green","2016-05-26 18:44:33","closed","Tarrasch","2016-06-30 02:41:18"
"1697","levylll","2016-05-26 04:47:58","open","",""
"1696","daveFNbuck","2016-05-25 20:49:08","closed","erikbern","2016-05-26 02:34:43"
"1695","tjamet","2016-05-25 09:50:59","open","",""
